doc,shootingID,outlet,,
2116,25,breitbart,11/1/18,Tree of Life Rabbi Jeffrey Myers on Trump Visit: 'Pleasantly Surprised by a Warm and Personal Side' That America Has Never Seen | Breitbart
8043,25,foxnews,11/1/18,Pittsburgh synagogue suspect pleads not guilty
8050,25,foxnews,11/1/18,Rabbis gather up traces of Pittsburgh victims for burial
8082,25,foxnews,11/1/18,Synagogue suspect pleads not guilty as funerals continue
8083,25,foxnews,11/1/18,Synagogue suspect pleads not guilty as more funerals planned
15175,25,nytimes,11/1/18,Pittsburgh Shooting Suspect Pleads Not Guilty in Synagogue Rampage
15176,25,nytimes,11/1/18,Tablet Magazine Heads to Pittsburgh With a Sense of Purpose
15202,25,nytimes,11/1/18,"Trump Finds Support After the Pittsburgh Massacre, From the Israeli Government"
8254,25,foxnews,11/2/18,"Pittsburgh rabbi surprised by ‘warm, personal side’ of Trump after meeting"
15307,25,nytimes,11/2/18,"On the First Shabbat After Pittsburgh Attack, âEveryone Is Going to Come to Shulâ"
18414,25,thinkprogress,11/2/18,These prominent white supremacists interacted with the Pittsburgh shooting suspect on social media
15382,25,nytimes,11/3/18,âNot Againâ: Tragedies Unite Charleston Pastor and Pittsburgh Rabbi
8485,25,foxnews,11/4/18,Synagogue attack a reminder of how common hate crimes are
2448,25,breitbart,11/5/18,Steelers Quarterback Wore Star of David Cleats for Pittsburgh Victims
8726,25,foxnews,11/6/18,"Jon Stewart talks gun control, says America’s ‘not going to f---ing do anything’ after synagogue shooting"
9367,25,foxnews,11/8/18,Worldwide moment of silence requested for synagogue victims
10034,25,foxnews,11/14/18,Man tied to synagogue shooting suspect arrested
10616,25,foxnews,11/17/18,After Pittsburgh synagogue shooting we must reject religious hatred and love one another
7353,27,foxnews,10/29/18,"The Purge' Halloween party at California nightclub ends in gunfire, several wounded, police say"
2237,33,breitbart,11/2/18,At Least Four Wounded After Man Opens Fire in Hot Yoga Class
8342,33,foxnews,11/2/18,"Florida yoga studio shooting leaves 3 dead, including suspect: reports"
15388,33,nytimes,11/2/18,"Man Shoots 6 at Florida Yoga Studio, Killing 2 and Then Himself"
8341,33,foxnews,11/3/18,"Florida yoga studio shooter had previous arrests for grabbing women, records show"
8398,33,foxnews,11/3/18,The Latest: College student from Atlanta died in yoga attack
8491,33,foxnews,11/3/18,"The Latest: Yoga shooter posted racist, misogynistic videos"
8503,33,foxnews,11/3/18,Yoga shooter appeared to have made misogynistic videos
8504,33,foxnews,11/3/18,"Yoga studio shooter posted racist, misogynistic videos"
15414,33,nytimes,11/3/18,"Gunman in Yoga Studio Shooting Had Faced Charges of Battery Against Women, Records Show"
8539,33,foxnews,11/5/18,Florida yoga student credited with saving lives during deadly shooting
2708,36,breitbart,11/8/18,Trump Praises Law Enforcement Bravery After California Bar Shooting
2749,36,breitbart,11/8/18,"Reports: David Ian Long, 29, Named as Thousand Oaks Shooter"
2751,36,breitbart,11/8/18,Ron Helus 'Ran In and Saved Lives' During Thousand Oaks Bar Shooting
2756,36,breitbart,11/8/18,Six Off-Duty Police Officers Were Inside Borderline Bar When Shooting Started | Breitbart
2759,36,breitbart,11/8/18,Thousand Oaks gunman used legally purchased handgun
2790,36,breitbart,11/8/18,"Democrat Eric Swalwell Blames Thousand Oaks Shooting on Arizona, Nevada"
2875,36,breitbart,11/8/18,Watch: Video of California Bar Allegedly Shows Ian David Long Open Fire
9019,36,foxnews,11/8/18,13 dead including gunman in shooting at California bar
9022,36,foxnews,11/8/18,Adam Housley's niece killed in California bar shooting
9030,36,foxnews,11/8/18,Authorities: Gunman wounds 11 people at California bar
9035,36,foxnews,11/8/18,"California bar gunman ID'd as Ian David Long, 28: Everything we know so far"
9036,36,foxnews,11/8/18,California bar patron saves dozens of people during deadly shooting
9037,36,foxnews,11/8/18,"California bar shooting victims include police officer, aspiring Army service member"
9076,36,foxnews,11/8/18,FIRST: Mass shooting at California bar; A look at Sessions' potential replacement as attorney general
9088,36,foxnews,11/8/18,Horrific scene': 13 dead including gunman at California bar
9106,36,foxnews,11/8/18,Marine combat veteran kills 12 in California bar shooting
9125,36,foxnews,11/8/18,Officer killed in California bar shooting described as hero
9191,36,foxnews,11/8/18,Witnesses describe chaotic scene during Thousand Oaks shooting
9217,36,foxnews,11/8/18,California bar shooting suspect’s ‘despicable actions’ condemned by Marine Corps’ top officer
9256,36,foxnews,11/8/18,Gutfeld on the shooting in Thousand Oaks
9285,36,foxnews,11/8/18,Marine combat veteran kills 12 in rampage at California bar
9288,36,foxnews,11/8/18,"Max Lucado: After the California bar shooting, our country is mourning – we must love our neighbors more"
9327,36,foxnews,11/8/18,"Some survived shootings in Vegas, California bar - except 1"
15858,36,nytimes,11/8/18,"Google, Thousand Oaks, China: Your Friday Briefing"
15866,36,nytimes,11/8/18,Who Is the Suspect in the Thousand Oaks Shooting?
15919,36,nytimes,11/8/18,"Thousand Oaks, Jeff Sessions, Jim Acosta: Your Thursday Briefing"
15944,36,nytimes,11/8/18,Thousand Oaks and Our Peculiarly American Affliction
18499,36,thinkprogress,11/8/18,Borderline Bar attack is the worst mass shooting the country has seen in 12 days
2848,36,breitbart,11/9/18,Report: Thousand Oaks Killer Ian Long Mocked 'Hopes and Prayers' Before Massacre
2921,36,breitbart,11/9/18,Site of Thousand Oaks Mass Shooting a Gun-Free Zone
9207,36,foxnews,11/9/18,"Ashton Kutcher reveals Thousand Oaks bar hosted his birthday party, urges Ivanka Trump to promote gun reform"
9279,36,foxnews,11/9/18,Las Vegas massacre survivor dies in California bar shooting
9286,36,foxnews,11/9/18,"Marine veteran who killed 12 in California bar served in brutal Afghanistan province, may have had PTSD"
9353,36,foxnews,11/9/18,"California bar shooter posted to social media while inside Borderline Bar & Grill, cops say"
9375,36,foxnews,11/9/18,Ann Voskamp: California bar shooting victims who died while saving others show us the power of love
16023,36,nytimes,11/9/18,"Thousand Oaks, Armistice, Lion Air: Your Friday Briefing"
16024,36,nytimes,11/9/18,"Thousand Oaks, Midterm Elections, Electronic Cigarettes: Your Friday Briefing"
16025,36,nytimes,11/9/18,On Politics: Gunman Identified in Thousand Oaks Mass Shooting
16114,36,nytimes,11/9/18,"Wildfires, Thousand Oaks, Elections: Your Friday Evening Briefing"
18519,36,thinkprogress,11/9/18,These are the victims of the Borderline Bar shooting
9420,36,foxnews,11/10/18,High school coach says California bar gunman assaulted her 10 years ago: ‘He attacked me’
9464,36,foxnews,11/10/18,Teen center that sheltered Thousand Oaks shooting victims now aiding Woolsey wildfire evacuees
9694,36,foxnews,11/11/18,Second former coach says California bar gunman was a ‘ticking time bomb’
16261,36,nytimes,11/13/18,Return to Campus for Students Who Survived Thousand Oaks Shooting
11733,36,foxnews,11/27/18,California bar shooter had enough ammo to kill many more
9655,38,foxnews,11/12/18,"Illinois officer responds to gunfire, fatally shoots guard"
9938,41,foxnews,11/13/18,"At least four dead after murder-suicide on Navajo land in New Mexico, officials say"
3630,47,breitbart,11/19/18,Police: Shots Fired Near Chicago's Mercy Hospital
3705,47,breitbart,11/19/18,Police: Chicago Hospital Gunman Identified as 32-Year-Old Juan Lopez
10714,47,foxnews,11/19/18,Chicago police officer in 'critical condition' after shooting at hospital: officials
10853,47,foxnews,11/19/18,Chicago hospital shooting claims 3 lives; gunman also dead
10856,47,foxnews,11/19/18,Chicago police officer in 'critical condition' after shooting at hospital: officials
10857,47,foxnews,11/19/18,Chicago police officer in 'critical condition' after shooting at hospital: officials
10894,47,foxnews,11/19/18,"Gunman opens fire at Chicago hospital, killing at least 3"
10895,47,foxnews,11/19/18,"Gunman opens fire at Chicago hospital, wounds at least 4"
10979,47,foxnews,11/19/18,"The Latest: Chicago hospital secured, safe after shooting"
3724,47,breitbart,11/20/18,Chicago Mercy Hospital is a state-mandated gun-free zone.
3760,47,breitbart,11/20/18,Chicago Mercy Hospital Gunman Legally Purchased Firearms
10842,47,foxnews,11/20/18,Argument at Chicago hospital erupts into deadly shooting
10852,47,foxnews,11/20/18,Chicago cop escaped injury during hospital shooting after bullet struck gun holster
