"X","document","topic","gamma","outlet","date","location","zip","medianIncome","majorityRace","countyVote","dead","injured","total","childrenHarmed","ideology"
80,"text12839","3",0.563080124718876,"nytimes",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",2.8
80,"text12839","3",0.563080124718876,"nytimes",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",2.8
81,"text12851","3",0.626182097548052,"nytimes",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",2.8
81,"text12851","3",0.626182097548052,"nytimes",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",2.8
82,"text12946","3",0.640535928262608,"nytimes",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",2.8
82,"text12946","3",0.640535928262608,"nytimes",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",2.8
83,"text18963","3",0.970368337388119,"wallstreetjournal",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",NA
83,"text18963","3",0.970368337388119,"wallstreetjournal",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",NA
84,"text12715","4",0.425872937058557,"nytimes",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",2.8
84,"text12715","4",0.425872937058557,"nytimes",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",2.8
85,"text4925","6",0.498431700141162,"foxnews",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",4.7
85,"text4925","6",0.498431700141162,"foxnews",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",4.7
86,"text5034","6",0.540674253032796,"foxnews",2018-10-03,"Florence, South Carolina","29501",3.78418963391826,"1","1",2,6,8,"0",4.7
86,"text5034","6",0.540674253032796,"foxnews",2018-10-03,"Philadelphia, Pennsylvania","20874",4.02535169073515,"1","0",1,4,5,"0",4.7
87,"text312","1",0.890582713844223,"breitbart",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",4.9
87,"text312","1",0.890582713844223,"breitbart",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.9
88,"text276","2",0.786345285514141,"breitbart",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",4.9
88,"text276","2",0.786345285514141,"breitbart",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.9
89,"text284","2",0.576823657380979,"breitbart",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",4.9
89,"text284","2",0.576823657380979,"breitbart",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.9
90,"text427","2",0.871857311977157,"breitbart",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",4.9
90,"text427","2",0.871857311977157,"breitbart",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.9
91,"text5011","2",0.655269266762414,"foxnews",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",4.7
91,"text5011","2",0.655269266762414,"foxnews",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
92,"text5012","2",0.676751464369981,"foxnews",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",4.7
92,"text5012","2",0.676751464369981,"foxnews",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
93,"text5028","2",0.846192710203555,"foxnews",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",4.7
93,"text5028","2",0.846192710203555,"foxnews",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
94,"text5032","2",0.4266485084984,"foxnews",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",4.7
94,"text5032","2",0.4266485084984,"foxnews",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
95,"text5039","2",0.63935901181516,"foxnews",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",4.7
95,"text5039","2",0.63935901181516,"foxnews",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
96,"text5078","2",0.415152420406323,"foxnews",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",4.7
96,"text5078","2",0.415152420406323,"foxnews",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
97,"text5112","2",0.483260922767536,"foxnews",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",4.7
97,"text5112","2",0.483260922767536,"foxnews",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
98,"text5124","2",0.851776623546177,"foxnews",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",4.7
98,"text5124","2",0.851776623546177,"foxnews",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
99,"text5134","2",0.74795744378276,"foxnews",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",4.7
99,"text5134","2",0.74795744378276,"foxnews",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
100,"text5199","2",0.362466594024895,"foxnews",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",4.7
100,"text5199","2",0.362466594024895,"foxnews",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
101,"text12796","2",0.586308279006583,"nytimes",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",2.8
101,"text12796","2",0.586308279006583,"nytimes",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",2.8
102,"text12901","2",0.443191442886329,"nytimes",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",2.8
102,"text12901","2",0.443191442886329,"nytimes",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",2.8
103,"text12941","2",0.660666437207901,"nytimes",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",2.8
103,"text12941","2",0.660666437207901,"nytimes",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",2.8
104,"text12944","2",0.80857428136674,"nytimes",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",2.8
104,"text12944","2",0.80857428136674,"nytimes",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",2.8
105,"text5080","3",0.641883896053118,"foxnews",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",4.7
105,"text5080","3",0.641883896053118,"foxnews",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
106,"text5175","3",0.494085334067533,"foxnews",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",4.7
106,"text5175","3",0.494085334067533,"foxnews",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
107,"text12781","3",0.474649326646834,"nytimes",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",2.8
107,"text12781","3",0.474649326646834,"nytimes",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",2.8
108,"text12824","3",0.387626568211111,"nytimes",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",2.8
108,"text12824","3",0.387626568211111,"nytimes",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",2.8
109,"text13032","3",0.764721553799768,"nytimes",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",2.8
109,"text13032","3",0.764721553799768,"nytimes",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",2.8
110,"text13078","3",0.809090280306751,"nytimes",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",2.8
110,"text13078","3",0.809090280306751,"nytimes",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",2.8
111,"text5273","4",0.679686734697301,"foxnews",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",4.7
111,"text5273","4",0.679686734697301,"foxnews",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
112,"text12757","4",0.350261977810516,"nytimes",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",2.8
112,"text12757","4",0.350261977810516,"nytimes",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",2.8
113,"text12826","4",0.53004573684111,"nytimes",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",2.8
113,"text12826","4",0.53004573684111,"nytimes",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",2.8
114,"text12857","4",0.787815609836997,"nytimes",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",2.8
114,"text12857","4",0.787815609836997,"nytimes",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",2.8
115,"text12904","4",0.431565091244509,"nytimes",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",2.8
115,"text12904","4",0.431565091244509,"nytimes",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",2.8
116,"text12920","4",0.595022894497267,"nytimes",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",2.8
116,"text12920","4",0.595022894497267,"nytimes",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",2.8
117,"text5021","6",0.438731656387211,"foxnews",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",4.7
117,"text5021","6",0.438731656387211,"foxnews",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
118,"text5068","6",0.815963850277447,"foxnews",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",4.7
118,"text5068","6",0.815963850277447,"foxnews",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
119,"text5126","6",0.489246363997155,"foxnews",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",4.7
119,"text5126","6",0.489246363997155,"foxnews",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
120,"text12849","6",0.477962562845123,"nytimes",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",2.8
120,"text12849","6",0.477962562845123,"nytimes",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",2.8
121,"text12905","6",0.339248276291893,"nytimes",2018-10-04,"Española, New Mexico","87566",2.83321334405622,"5","0",1,3,4,"0",2.8
121,"text12905","6",0.339248276291893,"nytimes",2018-10-04,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",2.8
122,"text557","2",0.369138605151674,"breitbart",2018-10-05,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.9
123,"text5217","2",0.479877718065361,"foxnews",2018-10-05,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
124,"text5220","2",0.765194291297518,"foxnews",2018-10-05,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
125,"text5221","2",0.726632112669699,"foxnews",2018-10-05,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
126,"text5225","2",0.646163466235141,"foxnews",2018-10-05,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
127,"text5233","2",0.570274760469747,"foxnews",2018-10-05,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
128,"text5269","2",0.746632635071774,"foxnews",2018-10-05,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
129,"text5274","2",0.933514103058028,"foxnews",2018-10-05,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
130,"text5275","2",0.91956695955946,"foxnews",2018-10-05,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
131,"text5301","2",0.707820051278527,"foxnews",2018-10-05,"Swainsboro, Georgia","30401",2.89037175789616,"1","1",0,4,4,"1",4.7
