"","document","topic","gamma","outlet","date"
"253","text38763",2,0.426360544226222,"nytimes","2018-10-04"
"254","text45499",2,0.545365676025014,"thehill","2018-10-04"
"255","text48963",2,0.562451154376979,"townhall","2018-10-04"
"256","text50391",2,0.452381434589517,"washingtonpost","2018-10-04"
"257","text50410",2,0.691155889545588,"washingtonpost","2018-10-04"
"258","text319",3,0.812713552459493,"abcnews","2018-10-04"
"259","text329",3,0.889288104314467,"abcnews","2018-10-04"
"260","text379",3,0.974376251205276,"abcnews","2018-10-04"
"261","text381",3,0.869568359939057,"abcnews","2018-10-04"
"262","text392",3,0.722343034615591,"abcnews","2018-10-04"
"263","text5761",3,0.82160144526083,"breitbart","2018-10-04"
"264","text5769",3,0.774055726025443,"breitbart","2018-10-04"
"265","text5912",3,0.900918602390263,"breitbart","2018-10-04"
"266","text15334",3,0.531529287363734,"dailykos","2018-10-04"
"267","text17288",3,0.658543125073923,"foxnews","2018-10-04"
"268","text17289",3,0.790169363671635,"foxnews","2018-10-04"
"269","text17305",3,0.890248465779964,"foxnews","2018-10-04"
"270","text17309",3,0.607732439008886,"foxnews","2018-10-04"
"271","text17316",3,0.748884698972714,"foxnews","2018-10-04"
"272","text17389",3,0.520543431552752,"foxnews","2018-10-04"
"273","text17401",3,0.903040028830919,"foxnews","2018-10-04"
"274","text17411",3,0.833648998727778,"foxnews","2018-10-04"
"275","text17476",3,0.425221310947168,"foxnews","2018-10-04"
"276","text25140",3,0.461740167242056,"huffingtonpost","2018-10-04"
"277","text25150",3,0.816734336454891,"huffingtonpost","2018-10-04"
"278","text32720",3,0.625470017147368,"newsweek","2018-10-04"
"279","text32753",3,0.510196157617506,"newsweek","2018-10-04"
"280","text32816",3,0.589464769071098,"newsweek","2018-10-04"
"281","text32851",3,0.472802932705365,"newsweek","2018-10-04"
"282","text38639",3,0.634560898316863,"nytimes","2018-10-04"
"283","text38744",3,0.444001441109057,"nytimes","2018-10-04"
"284","text38784",3,0.77440609023172,"nytimes","2018-10-04"
"285","text38787",3,0.834804069404115,"nytimes","2018-10-04"
"286","text15229",4,0.667956514773482,"dailykos","2018-10-04"
"287","text17298",4,0.483040218188128,"foxnews","2018-10-04"
"288","text17345",4,0.878853795386708,"foxnews","2018-10-04"
"289","text17403",4,0.576212086110389,"foxnews","2018-10-04"
"290","text29023",4,0.324635827319517,"infowars","2018-10-04"
"291","text38600",4,0.314345006513883,"nytimes","2018-10-04"
"292","text38692",4,0.661116237470248,"nytimes","2018-10-04"
"293","text38747",4,0.303902861459237,"nytimes","2018-10-04"
"294","text38748",4,0.399023449901983,"nytimes","2018-10-04"
"295","text43916",4,0.911837515075131,"politico","2018-10-04"
"296","text50483",4,0.548973872184709,"washingtonpost","2018-10-04"
"297","text496",1,0.882869984587369,"abcnews","2018-10-05"
"298","text5883",1,0.787078601309267,"breitbart","2018-10-05"
"299","text17563",1,0.746645451874615,"foxnews","2018-10-05"
"300","text17573",1,0.628553069742255,"foxnews","2018-10-05"
"301","text17586",1,0.39334940797259,"foxnews","2018-10-05"
"302","text17739",1,0.831137686167466,"foxnews","2018-10-05"
"303","text25148",1,0.837955736273614,"huffingtonpost","2018-10-05"
"304","text25165",1,0.607141681758991,"huffingtonpost","2018-10-05"
"305","text25206",1,0.478647070303721,"huffingtonpost","2018-10-05"
"306","text32895",1,0.878820039068607,"newsweek","2018-10-05"
"307","text32934",1,0.934302550989096,"newsweek","2018-10-05"
"308","text38721",1,0.60096375971609,"nytimes","2018-10-05"
"309","text38729",1,0.81671533514428,"nytimes","2018-10-05"
"310","text38754",1,0.414805381650476,"nytimes","2018-10-05"
"311","text38758",1,0.486587071960982,"nytimes","2018-10-05"
"312","text38825",1,0.742999138087758,"nytimes","2018-10-05"
"313","text38839",1,0.332320615845823,"nytimes","2018-10-05"
"314","text38940",1,0.892510040540501,"nytimes","2018-10-05"
"315","text48978",1,0.406397653043004,"townhall","2018-10-05"
"316","text49601",1,0.783579035917963,"vice","2018-10-05"
"317","text49603",1,0.922902458639419,"vice","2018-10-05"
"318","text49607",1,0.917475101019061,"vice","2018-10-05"
"319","text408",2,0.493569618234958,"abcnews","2018-10-05"
"320","text5838",2,0.382061992434417,"breitbart","2018-10-05"
"321","text5978",2,0.474615207577393,"breitbart","2018-10-05"
"322","text17611",2,0.383724291691115,"foxnews","2018-10-05"
"323","text25164",2,0.355957584430232,"huffingtonpost","2018-10-05"
"324","text29054",2,0.634034345485695,"infowars","2018-10-05"
"325","text29064",2,0.838920935950815,"infowars","2018-10-05"
"326","text32849",2,0.709144056552614,"newsweek","2018-10-05"
"327","text38695",2,0.677425920063878,"nytimes","2018-10-05"
"328","text38699",2,0.445592768786089,"nytimes","2018-10-05"
"329","text38706",2,0.399886724551001,"nytimes","2018-10-05"
"330","text410",3,0.800374476584352,"abcnews","2018-10-05"
"331","text427",3,0.846985987654211,"abcnews","2018-10-05"
"332","text484",3,0.70359148372826,"abcnews","2018-10-05"
"333","text487",3,0.915050690240156,"abcnews","2018-10-05"
"334","text489",3,0.919664653451585,"abcnews","2018-10-05"
"335","text517",3,0.830274759690994,"abcnews","2018-10-05"
"336","text522",3,0.902115614255711,"abcnews","2018-10-05"
"337","text526",3,0.424991920489952,"abcnews","2018-10-05"
"338","text528",3,0.533201678992966,"abcnews","2018-10-05"
"339","text539",3,0.773569387445372,"abcnews","2018-10-05"
"340","text560",3,0.512482322694285,"abcnews","2018-10-05"
"341","text5979",3,0.282341683296527,"breitbart","2018-10-05"
"342","text6042",3,0.478363445603388,"breitbart","2018-10-05"
"343","text10679",3,0.726774028263974,"cnbc","2018-10-05"
"344","text15302",3,0.573060391775254,"dailykos","2018-10-05"
"345","text17494",3,0.489532677904237,"foxnews","2018-10-05"
"346","text17497",3,0.830274759690994,"foxnews","2018-10-05"
"347","text17498",3,0.73028949308996,"foxnews","2018-10-05"
"348","text17502",3,0.677213164251594,"foxnews","2018-10-05"
"349","text17510",3,0.627511877678318,"foxnews","2018-10-05"
"350","text17546",3,0.833333126215757,"foxnews","2018-10-05"
"351","text17551",3,0.930585080921426,"foxnews","2018-10-05"
"352","text17552",3,0.962515412027346,"foxnews","2018-10-05"
"353","text17578",3,0.812110402033973,"foxnews","2018-10-05"
"354","text17621",3,0.606383533330404,"foxnews","2018-10-05"
"355","text17639",3,0.648077330231379,"foxnews","2018-10-05"
"356","text17649",3,0.92970388780023,"foxnews","2018-10-05"
"357","text17666",3,0.441836359735021,"foxnews","2018-10-05"
"358","text25142",3,0.797289487417545,"huffingtonpost","2018-10-05"
"359","text31542",3,0.734763129834319,"motherjones","2018-10-05"
"360","text32870",3,0.740600763305535,"newsweek","2018-10-05"
"361","text32883",3,0.572410502877086,"newsweek","2018-10-05"
"362","text32932",3,0.80074750163833,"newsweek","2018-10-05"
"363","text38797",3,0.723449324996324,"nytimes","2018-10-05"
"364","text38812",3,0.422505011842429,"nytimes","2018-10-05"
"365","text43930",3,0.822262661679094,"politico","2018-10-05"
"366","text45571",3,0.617647259784353,"thehill","2018-10-05"
"367","text5825",4,0.560434289506744,"breitbart","2018-10-05"
"368","text5890",4,0.75129286766454,"breitbart","2018-10-05"
"369","text5931",4,0.655691370235105,"breitbart","2018-10-05"
"370","text5945",4,0.737353655890849,"breitbart","2018-10-05"
"371","text17481",4,0.51206717743481,"foxnews","2018-10-05"
"372","text17555",4,0.76037346648077,"foxnews","2018-10-05"
"373","text38712",4,0.874129490182685,"nytimes","2018-10-05"
"374","text38742",4,0.602245633606881,"nytimes","2018-10-05"
"375","text38837",4,0.554376476358196,"nytimes","2018-10-05"
"376","text45548",4,0.694913517260461,"thehill","2018-10-05"
"377","text45564",4,0.80060340206567,"thehill","2018-10-05"
"378","text50462",4,0.547880370960011,"washingtonpost","2018-10-05"
