"","outlet","document","topic","gamma","date","ideology"
"218","breitbart","text9017","1",0.349983084551796,"2018-11-17",4.9
"219","breitbart","text7003","2",0.323679822205434,"2018-10-25",4.9
"220","breitbart","text7154","5",0.67121718294126,"2018-10-27",4.9
"221","breitbart","text7293","5",0.807324913903228,"2018-10-29",4.9
"222","breitbart","text8655","4",0.645371159438051,"2018-11-13",4.9
"223","breitbart","text7189","5",0.717630864676693,"2018-10-28",4.9
"224","breitbart","text7664","2",0.458163712837042,"2018-11-02",4.9
"225","breitbart","text6756","3",0.671202759600933,"2018-10-22",4.9
"226","breitbart","text5931","4",0.655691370235105,"2018-10-05",4.9
"227","breitbart","text7337","3",0.345480739151881,"2018-10-30",4.9
"228","breitbart","text7933","5",0.504190126963852,"2018-11-05",4.9
"229","breitbart","text7552","2",0.431428985934939,"2018-10-31",4.9
"230","breitbart","text7766","2",0.774792965107137,"2018-11-03",4.9
"231","breitbart","text7725","2",0.487299351608885,"2018-11-03",4.9
"232","breitbart","text7452","5",0.854927314078067,"2018-10-31",4.9
"233","breitbart","text7669","5",0.499163716481848,"2018-11-02",4.9
"234","breitbart","text7631","5",0.323169292815604,"2018-11-02",4.9
"235","breitbart","text7990","3",0.898980170699832,"2018-11-06",4.9
"236","breitbart","text6417","4",0.443383133214509,"2018-10-18",4.9
"237","breitbart","text5533","1",0.376136021204877,"2018-10-01",4.9
"238","breitbart","text6716","4",0.483046847244797,"2018-10-22",4.9
"239","breitbart","text9045","2",0.672144588782369,"2018-11-18",4.9
"240","breitbart","text9555","3",0.756885573260706,"2018-11-25",4.9
"241","breitbart","text5890","4",0.75129286766454,"2018-10-05",4.9
"242","breitbart","text8378","1",0.450730423048074,"2018-11-09",4.9
"243","breitbart","text8057","2",0.331271065013663,"2018-11-05",4.9
"244","breitbart","text7663","2",0.712810781944035,"2018-11-01",4.9
"245","breitbart","text7251","2",0.503685032518078,"2018-10-28",4.9
"246","breitbart","text8523","1",0.322948446712934,"2018-11-11",4.9
"247","breitbart","text9652","1",0.479402596053523,"2018-11-25",4.9
"248","breitbart","text6244","4",0.584382235314854,"2018-10-15",4.9
"249","breitbart","text5606","1",0.360130905142317,"2018-10-01",4.9
"250","breitbart","text7598","2",0.363608484160371,"2018-10-31",4.9
"251","breitbart","text6334","1",0.490145485805112,"2018-10-17",4.9
"252","breitbart","text5500","1",0.550440871210177,"2018-10-01",4.9
"253","breitbart","text9576","2",0.464724475017345,"2018-11-25",4.9
