"","outlet","document","topic","gamma","date","ideology"
"284","abcnews","text1567","1",0.713106195955091,"2018-06-13",2.9
"285","abcnews","text4618","6",0.265702793079752,"2018-07-07",2.9
"286","abcnews","text4155","1",0.461094505899645,"2018-07-02",2.9
"287","abcnews","text3408","6",0.444647712183879,"2018-06-26",2.9
"288","abcnews","text4174","1",0.596246797597808,"2018-07-02",2.9
"289","abcnews","text4568","5",0.316775726525135,"2018-07-05",2.9
"290","abcnews","text3109","1",0.776654957398985,"2018-06-25",2.9
"291","abcnews","text3425","1",0.9523455346089,"2018-06-27",2.9
"292","abcnews","text3432","1",0.8415731011815,"2018-06-27",2.9
"293","abcnews","text3547","1",0.800099381971942,"2018-06-27",2.9
"294","abcnews","text708","3",0.458076967899446,"2018-06-06",2.9
"295","abcnews","text718","3",0.467208265735889,"2018-06-06",2.9
"296","abcnews","text4750","1",0.630670609872994,"2018-07-08",2.9
"297","abcnews","text3806","6",0.497666681185351,"2018-06-29",2.9
"298","abcnews","text3840","6",0.547644717138142,"2018-06-29",2.9
"299","abcnews","text2426","6",0.334183930949769,"2018-06-19",2.9
"300","abcnews","text1680","3",0.546552430326414,"2018-06-13",2.9
"301","abcnews","text1027","3",0.595692226088443,"2018-06-08",2.9
"302","abcnews","text1170","3",0.865263160847196,"2018-06-08",2.9
"303","abcnews","text3731","6",0.486125509200283,"2018-06-28",2.9
"304","abcnews","text6350","4",0.235074019818099,"2018-07-26",2.9
"305","abcnews","text2425","1",0.807552659193734,"2018-06-20",2.9
"306","abcnews","text2427","1",0.84848611490111,"2018-06-20",2.9
"307","abcnews","text2504","1",0.917745036724727,"2018-06-20",2.9
"308","abcnews","text3556","2",0.3612907641444,"2018-06-27",2.9
"309","abcnews","text2592","1",0.379282260591796,"2018-06-20",2.9
"310","abcnews","text5090","6",0.447040471596016,"2018-07-12",2.9
"311","abcnews","text1951","1",0.653228632211601,"2018-06-15",2.9
"312","abcnews","text5653","2",0.402786960685164,"2018-07-18",2.9
"313","abcnews","text6160","5",0.449595513683306,"2018-07-26",2.9
"314","abcnews","text3495","3",0.456993307823716,"2018-06-27",2.9
"315","abcnews","text6253","5",0.417048752437668,"2018-07-26",2.9
"316","abcnews","text5147","1",0.349357723644172,"2018-07-13",2.9
"317","abcnews","text5406","3",0.592561913310495,"2018-07-15",2.9
"318","abcnews","text5277","1",0.700667925964513,"2018-07-13",2.9
"319","abcnews","text5285","1",0.92118651199613,"2018-07-13",2.9
"320","abcnews","text5597","6",0.572568316931982,"2018-07-17",2.9
"321","abcnews","text3119","3",0.621164460488561,"2018-06-25",2.9
"322","abcnews","text6143","4",0.339598489220909,"2018-07-25",2.9
"323","abcnews","text3735","1",0.670819548980629,"2018-06-28",2.9
"324","abcnews","text4135","4",0.494292390488556,"2018-07-03",2.9
"325","abcnews","text929","5",0.620818658762728,"2018-06-08",2.9
"326","abcnews","text6423","3",0.452289826996942,"2018-07-28",2.9
"327","abcnews","text2535","2",0.364459298111494,"2018-06-20",2.9
"328","abcnews","text5681","3",0.652638317708798,"2018-07-18",2.9
"329","abcnews","text2612","2",0.671548826067385,"2018-06-20",2.9
"330","abcnews","text747","6",0.344913651165294,"2018-06-06",2.9
"331","abcnews","text824","6",0.615815702309618,"2018-06-06",2.9
"332","abcnews","text1506","6",0.350761649850586,"2018-06-13",2.9
"333","abcnews","text6251","6",0.384475586476252,"2018-07-26",2.9
"334","abcnews","text4772","6",0.527265039213703,"2018-07-08",2.9
"335","abcnews","text5651","1",0.635449612664631,"2018-07-18",2.9
"336","abcnews","text5693","1",0.80401902203196,"2018-07-18",2.9
"337","abcnews","text2401","3",0.608608851895807,"2018-06-20",2.9
"338","abcnews","text796","1",0.501002016233009,"2018-06-07",2.9
"339","abcnews","text853","1",0.504236426479203,"2018-06-07",2.9
"340","abcnews","text871","1",0.372410908428747,"2018-06-07",2.9
"341","abcnews","text880","1",0.765447096574064,"2018-06-07",2.9
"342","abcnews","text945","1",0.640548008593172,"2018-06-07",2.9
"343","abcnews","text1201","1",0.701238263771685,"2018-06-07",2.9
"344","abcnews","text5156","3",0.397212809916793,"2018-07-13",2.9
"345","abcnews","text6299","1",0.334447097593805,"2018-07-27",2.9
"346","abcnews","text6428","1",0.720663002184803,"2018-07-27",2.9
"347","abcnews","text4342","5",0.276639963785479,"2018-07-04",2.9
"348","abcnews","text6516","1",0.522720208348391,"2018-07-29",2.9
"349","abcnews","text6566","1",0.547152769293163,"2018-07-29",2.9
"350","abcnews","text6567","1",0.897625314087443,"2018-07-29",2.9
"351","abcnews","text5381","1",0.836956780057206,"2018-07-16",2.9
"352","abcnews","text5752","6",0.609339767909713,"2018-07-19",2.9
"353","abcnews","text5695","2",0.240458162223573,"2018-07-18",2.9
"354","abcnews","text5442","1",0.920323032632523,"2018-07-16",2.9
"355","abcnews","text1949","6",0.572320721209808,"2018-06-15",2.9
"356","abcnews","text3500","1",0.538038282425486,"2018-06-28",2.9
"357","abcnews","text3572","1",0.915888544408083,"2018-06-28",2.9
"358","abcnews","text3591","1",0.904614518853304,"2018-06-28",2.9
"359","abcnews","text3592","1",0.876368938384676,"2018-06-28",2.9
"360","abcnews","text3607","1",0.477094093229557,"2018-06-28",2.9
"361","abcnews","text3668","1",0.483769660039283,"2018-06-28",2.9
"362","abcnews","text3672","1",0.523901970606592,"2018-06-28",2.9
"363","abcnews","text978","1",0.795704143066748,"2018-06-08",2.9
"364","abcnews","text4615","1",0.663174516702692,"2018-07-07",2.9
"365","abcnews","text4058","1",0.71112129353188,"2018-07-01",2.9
"366","abcnews","text5643","3",0.750880690029704,"2018-07-18",2.9
"367","abcnews","text753","2",0.341589829446468,"2018-06-07",2.9
"368","abcnews","text1327","3",0.503072316562209,"2018-06-11",2.9
"369","abcnews","text2673","1",0.921517429919901,"2018-06-21",2.9
"370","abcnews","text3709","3",0.82588380158188,"2018-06-29",2.9
"371","abcnews","text2694","1",0.646296027022116,"2018-06-21",2.9
"372","abcnews","text2812","1",0.785831382255689,"2018-06-21",2.9
"373","abcnews","text781","3",0.573628831424083,"2018-06-07",2.9
"374","abcnews","text946","3",0.309897793534812,"2018-06-07",2.9
"375","abcnews","text1114","3",0.55476190433775,"2018-06-07",2.9
"376","abcnews","text5762","5",0.284965926249957,"2018-07-19",2.9
"377","abcnews","text6441","1",0.814686951002459,"2018-07-28",2.9
"378","abcnews","text6494","5",0.889940799831717,"2018-07-29",2.9
"379","abcnews","text6497","5",0.413352271605391,"2018-07-29",2.9
"380","abcnews","text1874","5",0.574573905639766,"2018-06-16",2.9
"381","abcnews","text4621","2",0.418918436203756,"2018-07-07",2.9
"382","abcnews","text1819","3",0.469407999040124,"2018-06-14",2.9
"383","abcnews","text3810","2",0.413783457566627,"2018-06-28",2.9
"384","abcnews","text1287","6",0.527658901302962,"2018-06-10",2.9
"385","abcnews","text3733","6",0.873145374684351,"2018-06-28",2.9
"386","abcnews","text4661","3",0.551428968351446,"2018-07-07",2.9
"387","abcnews","text2015","1",0.859630366309288,"2018-06-17",2.9
"388","abcnews","text5290","1",0.831184701966514,"2018-07-14",2.9
"389","abcnews","text4256","3",0.679032504885976,"2018-07-03",2.9
"390","abcnews","text4330","3",0.70538395299362,"2018-07-03",2.9
"391","abcnews","text3532","3",0.879278085224766,"2018-06-28",2.9
"392","abcnews","text2635","1",0.983311592654436,"2018-06-20",2.9
"393","abcnews","text5839","6",0.445938595709798,"2018-07-19",2.9
"394","abcnews","text4355","2",0.718434931401728,"2018-07-04",2.9
"395","abcnews","text1361","6",0.343370831387154,"2018-06-12",2.9
"396","abcnews","text1572","4",0.458770407841508,"2018-06-13",2.9
"397","abcnews","text2244","2",0.724571026579996,"2018-06-18",2.9
"398","abcnews","text2284","2",0.353919493773635,"2018-06-18",2.9
"399","abcnews","text1871","4",0.35979730681238,"2018-06-14",2.9
"400","abcnews","text6422","2",0.252548359957797,"2018-07-28",2.9
"401","abcnews","text5822","1",0.732505009929087,"2018-07-19",2.9
"402","abcnews","text5555","5",0.299328005704961,"2018-07-18",2.9
"403","abcnews","text3885","2",0.902362940385532,"2018-06-29",2.9
"404","abcnews","text4319","1",0.779084638698228,"2018-07-03",2.9
"405","abcnews","text4246","4",0.364442874710802,"2018-07-03",2.9
"406","abcnews","text3481","4",0.803192923297709,"2018-06-28",2.9
"407","abcnews","text1290","3",0.679665828897388,"2018-06-11",2.9
"408","abcnews","text2234","3",0.842939083375682,"2018-06-18",2.9
"409","abcnews","text4285","5",0.45990441711363,"2018-07-03",2.9
"410","abcnews","text6736","4",0.645273834478594,"2018-07-31",2.9
"411","abcnews","text2629","2",0.496562090051661,"2018-06-20",2.9
"412","abcnews","text2173","3",0.490186146501803,"2018-06-17",2.9
