"","document","topic","gamma","outlet","date"
"359","text24528",1,0.828509769223763,"foxnews","2018-06-07"
"360","text24538",1,0.862907454793862,"foxnews","2018-06-07"
"361","text24542",1,0.665942887714795,"foxnews","2018-06-07"
"362","text24568",1,0.625252980665237,"foxnews","2018-06-07"
"363","text24600",1,0.770274540122189,"foxnews","2018-06-07"
"364","text24629",1,0.686549762357144,"foxnews","2018-06-07"
"365","text24699",1,0.671047384346703,"foxnews","2018-06-07"
"366","text28881",1,0.581268955035375,"infowars","2018-06-07"
"367","text753",2,0.341589829446468,"abcnews","2018-06-07"
"368","text7633",2,0.753400955854914,"bloomberg","2018-06-07"
"369","text14663",2,0.480594829358013,"dailykos","2018-06-07"
"370","text33231",2,0.357787137124033,"newyorker","2018-06-07"
"371","text40197",2,0.532064544984069,"thinkprogress","2018-06-07"
"372","text41958",2,0.804575845363564,"washingtonpost","2018-06-07"
"373","text781",3,0.573628831424083,"abcnews","2018-06-07"
"374","text946",3,0.309897793534812,"abcnews","2018-06-07"
"375","text1114",3,0.55476190433775,"abcnews","2018-06-07"
"376","text14658",3,0.434707079985884,"dailykos","2018-06-07"
"377","text14699",3,0.834972630166623,"dailykos","2018-06-07"
"378","text24254",3,0.504128441241339,"foxnews","2018-06-07"
"379","text24303",3,0.357834566508491,"foxnews","2018-06-07"
"380","text24395",3,0.444282222751936,"foxnews","2018-06-07"
"381","text24656",3,0.756910905354933,"foxnews","2018-06-07"
"382","text26107",3,0.632010732420856,"huffingtonpost","2018-06-07"
"383","text28914",3,0.433266194791372,"infowars","2018-06-07"
"384","text33229",3,0.777977887162533,"newyorker","2018-06-07"
"385","text33241",3,0.642438494356562,"newyorker","2018-06-07"
"386","text34614",3,0.742822642328887,"nytimes","2018-06-07"
"387","text40201",3,0.429416296101363,"thinkprogress","2018-06-07"
"388","text41851",3,0.90344472702473,"washingtonpost","2018-06-07"
"389","text41884",3,0.277597898699799,"washingtonpost","2018-06-07"
"390","text41915",3,0.672483109001391,"washingtonpost","2018-06-07"
"391","text14723",4,0.672545122330946,"dailykos","2018-06-07"
"392","text24619",4,0.317481270581461,"foxnews","2018-06-07"
"393","text41917",4,0.411293136084074,"washingtonpost","2018-06-07"
"394","text14664",5,0.891936250746527,"dailykos","2018-06-07"
"395","text14691",5,0.538080663351585,"dailykos","2018-06-07"
"396","text24291",5,0.464071494665875,"foxnews","2018-06-07"
"397","text24312",5,0.406205126947199,"foxnews","2018-06-07"
"398","text24557",5,0.726863959212729,"foxnews","2018-06-07"
"399","text24675",5,0.427876781230246,"foxnews","2018-06-07"
"400","text41819",5,0.464643444809493,"washingtonpost","2018-06-07"
"401","text10212",6,0.308652911215729,"buzzfeed","2018-06-07"
"402","text28884",6,0.433439031743865,"infowars","2018-06-07"
"403","text978",1,0.795704143066748,"abcnews","2018-06-08"
"404","text1023",1,0.380402277099636,"abcnews","2018-06-08"
"405","text1059",1,0.767648143571076,"abcnews","2018-06-08"
"406","text23686",1,0.664822005340404,"foxnews","2018-06-08"
"407","text23707",1,0.470571726864202,"foxnews","2018-06-08"
"408","text24517",1,0.816618869095176,"foxnews","2018-06-08"
"409","text24526",1,0.643758771325301,"foxnews","2018-06-08"
"410","text24579",1,0.773435754433592,"foxnews","2018-06-08"
"411","text24597",1,0.973022521149362,"foxnews","2018-06-08"
"412","text24617",1,0.832306837111053,"foxnews","2018-06-08"
"413","text24625",1,0.94276720328579,"foxnews","2018-06-08"
"414","text24682",1,0.786258499919318,"foxnews","2018-06-08"
"415","text24702",1,0.954419215760701,"foxnews","2018-06-08"
"416","text28950",1,0.613363483898234,"infowars","2018-06-08"
"417","text7667",2,0.521374190385033,"bloomberg","2018-06-08"
"418","text7668",2,0.306915320472728,"bloomberg","2018-06-08"
"419","text41903",2,0.351207830917448,"washingtonpost","2018-06-08"
